"administrative_level_2","administrative_level_3","age_gr","at_risk"
"Vilniaus apskr.","Šalčininkų r.","40-49",1849
"Kauno apskr.","Kėdainių r.","70-79",1364
"Utenos apskr.","Molėtų r.","70-79",635
"Kauno apskr.","Raseinių r.","20-29",1559
"Tauragės apskr.","Tauragės r.","50-59",2466
"Šiaulių apskr.","Šiaulių m.","50-59",6498
"Klaipėdos apskr.","Šilutės r.","60-69",2589
"Vilniaus apskr.","Elektrėnų","60-69",1575
"Kauno apskr.","Jonavos r.","20-29",2431
"Tauragės apskr.","Jurbarko r.","80+",1144
"Alytaus apskr.","Lazdijų r.","40-49",940
"Utenos apskr.","Visagino m.","70-79",901
"Utenos apskr.","Visagino m.","20-29",762
"Panevėžio apskr.","Biržų r.","60-69",1750
"Panevėžio apskr.","Biržų r.","20-29",1500
"Panevėžio apskr.","Kupiškio r.","60-69",1188
"Marijampolės apskr.","Šakių r.","40-49",1362
"Vilniaus apskr.","Šalčininkų r.","70-79",686
"Šiaulių apskr.","Akmenės r.","20-29",1166
"Panevėžio apskr.","Biržų r.","80+",1404
"Kauno apskr.","Kaišiadorių r.","60-69",1538
"Kauno apskr.","Kauno r.","80+",2968
"Panevėžio apskr.","Panevėžio m.","60-69",4235
"Vilniaus apskr.","Ukmergės r.","80+",649
"Alytaus apskr.","Alytaus r.","50-59",1690
"Marijampolės apskr.","Kalvarijos","70-79",454
"Šiaulių apskr.","Kelmės r.","60-69",1859
"Telšių apskr.","Mažeikių r.","80+",585
"Panevėžio apskr.","Pasvalio r.","80+",386
"Vilniaus apskr.","Vilniaus m.","40-49",35777
"Šiaulių apskr.","Akmenės r.","60-69",1148
"Alytaus apskr.","Druskininkų","40-49",972
"Šiaulių apskr.","Kelmės r.","80+",508
"Alytaus apskr.","Lazdijų r.","30-39",753
"Telšių apskr.","Plungės r.","70-79",979
"Vilniaus apskr.","Trakų r.","60-69",1598
"Utenos apskr.","Anykščių r.","80+",1452
"Vilniaus apskr.","Elektrėnų","40-49",1263
"Marijampolės apskr.","Kazlų Rūdos","60-69",768
"Kauno apskr.","Raseinių r.","40-49",1581
"Šiaulių apskr.","Šiaulių r.","70-79",1310
"Kauno apskr.","Kaišiadorių r.","70-79",1476
"Panevėžio apskr.","Pasvalio r.","50-59",1761
"Vilniaus apskr.","Vilniaus r.","50-59",6151
"Marijampolės apskr.","Šakių r.","30-39",611
"Klaipėdos apskr.","Šilutės r.","40-49",1811
"Marijampolės apskr.","Kalvarijos","30-39",329
"Tauragės apskr.","Pagėgių","70-79",182
"Panevėžio apskr.","Panevėžio m.","30-39",2955
"Panevėžio apskr.","Pasvalio r.","40-49",1133
"Vilniaus apskr.","Šalčininkų r.","40-49",1582
"Klaipėdos apskr.","Klaipėdos r.","30-39",4460
"Alytaus apskr.","Lazdijų r.","50-59",1511
"Utenos apskr.","Molėtų r.","60-69",1190
"Panevėžio apskr.","Panevėžio m.","60-69",6355
"Kauno apskr.","Raseinių r.","50-59",2114
"Telšių apskr.","Rietavo","80+",116
"Utenos apskr.","Anykščių r.","80+",571
"Kauno apskr.","Birštono","60-69",273
"Kauno apskr.","Kėdainių r.","40-49",2370
"Marijampolės apskr.","Marijampolės","40-49",2686
"Alytaus apskr.","Varėnos r.","70-79",744
"Kauno apskr.","Kaišiadorių r.","30-39",878
"Marijampolės apskr.","Kazlų Rūdos","50-59",752
"Tauragės apskr.","Šilalės r.","60-69",1196
"Vilniaus apskr.","Švenčionių r.","50-59",1652
"Klaipėdos apskr.","Klaipėdos m.","70-79",3793
"Marijampolės apskr.","Marijampolės","40-49",3113
"Telšių apskr.","Plungės r.","30-39",749
"Vilniaus apskr.","Ukmergės r.","40-49",1654
"Utenos apskr.","Zarasų r.","60-69",1147
"Šiaulių apskr.","Akmenės r.","30-39",371
"Vilniaus apskr.","Elektrėnų","70-79",1231
"Panevėžio apskr.","Pasvalio r.","80+",1107
"Klaipėdos apskr.","Skuodo r.","30-39",365
"Vilniaus apskr.","Ukmergės r.","80+",1797
