"day","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2020-06-28,0.685534401578646,0.19634072663849,0.365743988297988,0.404197944312945,0.544032380206065,0.663617073648093,0.8033728621011,1.0414950625923,1.12821695574232
2020-06-29,0.700669134666364,0.205748053720663,0.366639227763321,0.406747066015757,0.552290028517133,0.67745901749384,0.823885157097436,1.07427173131133,1.16605617787822
2020-06-30,0.762936468598708,0.222455375611249,0.400401081413986,0.444227899867833,0.602737630894908,0.738066137611133,0.896192449912015,1.16716239083427,1.26436692235847
2020-07-01,1.0927550101527,0.27624121875553,0.629991751041593,0.687490065294159,0.894548492005774,1.06666735867698,1.26309516260237,1.58730182972645,1.70387159707778
2020-07-02,1.16312769189229,0.268263322781694,0.703249175557444,0.763055058874346,0.972543747856442,1.14079208189384,1.3297452380303,1.63810011426272,1.74719271034043
2020-07-03,1.05361838700134,0.251976825446407,0.623719268533909,0.680044336075646,0.87469974057209,1.03183350132492,1.20868568448018,1.50188885294994,1.60801942522727
2020-07-04,1.23036714070274,0.271188538294117,0.763050535338458,0.824778010336804,1.03854136448321,1.20899349605798,1.39862397588118,1.70948839379748,1.82045003226538
2020-07-05,1.42281577965924,0.29590101382296,0.910529467190271,0.979062903792562,1.21333435917395,1.39998887207313,1.60687584388076,1.94498129597849,2.06604482811121
2020-07-06,1.45216781160286,0.311256595467013,0.915577432570384,0.985487352860087,1.23057244871754,1.42777120970905,1.6468503422445,2.00242911442939,2.12810334272169
2020-07-07,1.80067753645111,0.364196230990337,1.17322273204171,1.25367132535161,1.53967184360693,1.77274045586408,2.03124764223385,2.44462703720824,2.58617182365457
2020-07-08,1.44918289056831,0.348889753926105,0.85596826529134,0.926124573988303,1.19233267257452,1.42336013967124,1.67606747661207,2.06365979925779,2.1948453179792
2020-07-09,1.37733844251642,0.318449774864918,0.858261699543333,0.920235678475607,1.14415052117032,1.34125751100363,1.57559743090084,1.9558367393638,2.08535487158716
2020-07-10,1.31594987825054,0.284422847085935,0.850317935195491,0.907643718405642,1.1115344346104,1.28354885658614,1.48768245984368,1.83516373506633,1.95752876643415
2020-07-11,1.19358082263571,0.243096850914737,0.785553367601583,0.838172505836882,1.02100954997417,1.16917984896081,1.3406612963741,1.63197990989465,1.73674853557315
2020-07-12,1.13593805202138,0.214114099150698,0.765588426872394,0.815201000894176,0.984638674357405,1.11881879661168,1.2684134730621,1.51509875337118,1.60275833335447
2020-07-13,1.03127142327364,0.190492546046915,0.696025269711764,0.741632692576877,0.897234402796413,1.01828106695234,1.15109865150623,1.36544446803324,1.44146825279335
