"daily_deaths_all","daily_deaths_def1","daily_deaths_def2","daily_deaths_def3","date","dgn_pos_cum","dgn_pos_day","dgn_prc_cum","dgn_prc_day","dgn_tot_day","municipality_code","municipality_name"
0,0,0,0,2020-03-24,0,0,0,0,0,"38","Varėnos r. sav."
0,0,0,0,2020-03-24,0,0,0,0,1,"39","Vilkaviškio r. sav."
4,0,0,0,2020-03-24,0,0,0,0,3,"41","Vilniaus r. sav."
2,0,0,0,2020-03-24,0,0,0,0,6,"42","Elektrėnų sav."
1,0,0,0,2020-03-24,0,0,0,0,1,"43","Zarasų r. sav."
0,0,0,0,2020-03-24,2,0,33.3,0,1,"45","Ignalinos r. sav."
3,0,0,0,2020-03-24,1,1,9.1,25,4,"46","Jonavos r. sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"47","Joniškio r. sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"48","Kalvarijos sav."
1,0,0,0,2020-03-24,0,0,0,0,3,"49","Kaišiadorių r. sav."
1,0,0,0,2020-03-24,2,0,8.3,0,10,"52","Kauno r. sav."
5,0,0,0,2020-03-24,0,0,0,0,2,"53","Kėdainių r. sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"54","Kelmės r. sav."
4,0,0,0,2020-03-24,1,1,5.9,16.7,6,"55","Klaipėdos r. sav."
0,0,0,0,2020-03-24,1,1,5.9,12.5,8,"56","Kretingos r. sav."
1,0,0,0,2020-03-24,0,0,0,0,0,"57","Kupiškio r. sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"58","Kazlų Rūdos sav."
2,0,0,0,2020-03-24,0,0,0,0,0,"59","Lazdijų r. sav."
2,0,0,0,2020-03-24,1,1,25,33.3,3,"61","Mažeikių r. sav."
2,0,0,0,2020-03-24,0,0,0,0,1,"62","Molėtų r. sav."
1,0,0,0,2020-03-24,0,0,0,0,0,"63","Pagėgių sav."
2,0,0,0,2020-03-24,0,0,0,0,0,"65","Pakruojo r. sav."
2,0,0,0,2020-03-24,0,0,0,0,1,"66","Panevėžio r. sav."
1,0,0,0,2020-03-24,0,0,0,0,0,"67","Pasvalio r. sav."
1,0,0,0,2020-03-24,0,0,0,0,4,"68","Plungės r. sav."
2,0,0,0,2020-03-24,0,0,0,0,2,"69","Prienų r. sav."
1,0,0,0,2020-03-24,0,0,0,0,3,"71","Radviliškio r. sav."
3,0,0,0,2020-03-24,1,0,9.1,0,3,"72","Raseinių r. sav."
1,0,0,0,2020-03-24,0,0,0,0,1,"73","Rokiškio r. sav."
0,0,0,0,2020-03-24,0,0,0,0,2,"74","Rietavo sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"75","Skuodo r. sav."
2,0,0,0,2020-03-24,0,0,0,0,4,"77","Tauragės r. sav."
1,0,0,0,2020-03-24,1,1,33.3,50,2,"78","Telšių r. sav."
0,0,0,0,2020-03-24,0,0,0,0,2,"79","Trakų r. sav."
4,1,1,1,2020-03-24,12,4,34.3,40,10,"81","Ukmergės r. sav."
3,0,0,0,2020-03-24,1,0,20,0,1,"82","Utenos r. sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"84","Šakių r. sav."
0,0,0,0,2020-03-24,0,0,0,0,1,"85","Šalčininkų r. sav."
2,0,0,0,2020-03-24,2,0,25,0,1,"86","Švenčionių r. sav."
0,0,0,0,2020-03-24,0,0,0,0,0,"87","Šilalės r. sav."
4,0,0,0,2020-03-24,0,0,0,0,8,"88","Šilutės r. sav."
2,0,0,0,2020-03-24,0,0,0,0,1,"89","Širvintų r. sav."
2,0,0,0,2020-03-24,0,0,0,0,1,"91","Šiaulių r. sav."
4,0,0,0,2020-03-24,0,0,0,0,1,"94","Jurbarko r. sav."
108,1,1,1,2020-03-25,168,55,8,7.8,709,"00","Lietuva"
2,0,0,0,2020-03-25,2,2,7.7,11.1,18,"11","Alytaus m. sav."
0,0,0,0,2020-03-25,0,0,0,0,0,"12","Birštono sav."
14,0,0,0,2020-03-25,73,20,7.8,7.9,254,"13","Vilniaus m. sav."
1,0,0,0,2020-03-25,0,0,0,0,5,"15","Druskininkų sav."
1,0,0,0,2020-03-25,0,0,0,0,25,"18","Marijampolės sav."
8,0,0,0,2020-03-25,19,5,5.7,4.9,103,"19","Kauno m. sav."
7,0,0,0,2020-03-25,34,15,14.8,19.2,78,"21","Klaipėdos m. sav."
0,0,0,0,2020-03-25,0,0,0,0,1,"23","Neringos sav."
0,0,0,0,2020-03-25,0,0,0,0,2,"25","Palangos m. sav."
1,0,0,0,2020-03-25,2,0,28.6,0,3,"27","Panevėžio m. sav."
8,0,0,0,2020-03-25,0,0,0,0,33,"29","Šiaulių m. sav."
0,0,0,0,2020-03-25,1,1,50,100,1,"30","Visagino sav."
1,0,0,0,2020-03-25,0,0,0,0,2,"32","Akmenės r. sav."
1,0,0,0,2020-03-25,0,0,0,0,5,"33","Alytaus r. sav."
5,0,0,0,2020-03-25,0,0,0,0,4,"34","Anykščių r. sav."
0,0,0,0,2020-03-25,0,0,0,0,1,"36","Biržų r. sav."
2,0,0,0,2020-03-25,0,0,0,0,3,"38","Varėnos r. sav."
1,0,0,0,2020-03-25,0,0,0,0,2,"39","Vilkaviškio r. sav."
4,0,0,0,2020-03-25,2,2,4,11.1,18,"41","Vilniaus r. sav."
0,0,0,0,2020-03-25,0,0,0,0,8,"42","Elektrėnų sav."
0,0,0,0,2020-03-25,0,0,0,0,0,"43","Zarasų r. sav."
0,0,0,0,2020-03-25,2,0,25,0,2,"45","Ignalinos r. sav."
0,0,0,0,2020-03-25,1,0,6.7,0,4,"46","Jonavos r. sav."
2,0,0,0,2020-03-25,1,1,20,20,5,"47","Joniškio r. sav."
2,0,0,0,2020-03-25,0,0,0,0,1,"48","Kalvarijos sav."
1,0,0,0,2020-03-25,0,0,0,0,1,"49","Kaišiadorių r. sav."
1,0,0,0,2020-03-25,3,1,6.8,5,20,"52","Kauno r. sav."
1,0,0,0,2020-03-25,0,0,0,0,1,"53","Kėdainių r. sav."
0,0,0,0,2020-03-25,0,0,0,0,3,"54","Kelmės r. sav."
2,0,0,0,2020-03-25,2,1,6.3,6.7,15,"55","Klaipėdos r. sav."
4,0,0,0,2020-03-25,1,0,3.4,0,12,"56","Kretingos r. sav."
0,0,0,0,2020-03-25,0,0,0,0,0,"57","Kupiškio r. sav."
